cop,cf,temp,cf_orig,heating load (mmbtu),heating load (ton),heating load/cf_orig,heating_load/cf
2.164,0.66,17.6,0.65976,10.7626833,896.890275,1359.418993,1358.924659
2.247,0.681,19.4,0.68064,7.389561,615.79675,904.7319435,904.2536711
2.33,0.702,21.2,0.70152,6.60085508,550.0712567,784.1134346,783.5772887
2.497,0.743,24.8,0.74328,6.07133441,505.9445342,680.6917099,680.948229
2.58,0.764,26.6,0.76416,5.7621301,480.1775083,628.3729956,628.5045921
2.663,0.785,28.4,0.78504,5.66300416,471.9170133,601.1375386,601.1681699
2.746,0.806,30.2,0.80592,5.11486167,426.2384725,528.8843465,528.8318517
2.746,0.806,30.2,0.80592,4.73042057,394.2017142,489.1325618,489.0840126
2.746,0.806,30.2,0.80592,4.78443967,398.7033058,494.7182175,494.6691139
2.663,0.785,28.4,0.78504,5.05714032,421.42836,536.8240599,536.851414
2.663,0.785,28.4,0.78504,5.48351429,456.9595242,582.0843832,582.1140435
2.663,0.785,28.4,0.78504,6.12800165,510.6668042,650.4978143,650.5309607
2.663,0.785,28.4,0.78504,6.39622332,533.01861,678.9700015,679.0045987
2.663,0.785,28.4,0.78504,6.95939127,579.9492725,738.7512388,738.7888822
2.58,0.764,26.6,0.76416,7.25524603,604.6038358,791.2005808,791.3662773
2.58,0.764,26.6,0.76416,1.13482779,94.5689825,123.7554733,123.7813907
2.58,0.764,26.6,0.76416,1.68544148,140.4534567,183.8011106,183.839603
2.58,0.764,26.6,0.76416,3.04710701,253.9255842,332.2937397,332.3633301
2.58,0.764,26.6,0.76416,2.43589199,202.9909992,265.6393938,265.6950251
2.58,0.764,26.6,0.76416,3.74915102,312.4292517,408.8531874,408.9388111
2.58,0.764,26.6,0.76416,2.63280641,219.4005342,287.1133456,287.173474
2.497,0.743,24.8,0.74328,3.94621774,328.8514783,442.432836,442.5995671
2.497,0.743,24.8,0.74328,2.78630575,232.1921458,312.388529,312.5062528
2.497,0.743,24.8,0.74328,7.33141316,610.9510967,821.9662801,822.2760386
2.497,0.743,24.8,0.74328,10.6185136,884.8761333,1190.50174,1190.950381
2.58,0.764,26.6,0.76416,7.55771367,629.8094725,824.185344,824.3579483
2.663,0.785,28.4,0.78504,6.46370913,538.6424275,686.1337352,686.1686975
2.746,0.806,30.2,0.80592,5.84992965,487.4941375,604.891475,604.8314361
2.829,0.827,32,0.8268,5.29086276,440.90523,533.26709,533.1381258
2.829,0.827,32,0.8268,5.09856915,424.8807625,513.8857795,513.7615024
2.829,0.827,32,0.8268,4.69321701,391.1014175,473.0302582,472.9158615
2.829,0.827,32,0.8268,4.43234394,369.361995,446.7368106,446.6287727
2.829,0.827,32,0.8268,4.29725947,358.1049558,433.1216205,433.0168753
2.829,0.827,32,0.8268,4.54785392,378.9878267,458.379084,458.2682306
2.746,0.806,30.2,0.80592,5.09342963,424.4524692,526.6682415,526.6159667
2.746,0.806,30.2,0.80592,5.84059443,486.7162025,603.9261993,603.8662562
2.663,0.785,28.4,0.78504,6.16575045,513.8125375,654.5049138,654.5382643
2.663,0.785,28.4,0.78504,6.68473839,557.0615325,709.5963677,709.6325255
2.746,0.806,30.2,0.80592,7.01926234,584.9385283,725.802224,725.730184
2.746,0.806,30.2,0.80592,1.01663261,84.71938417,105.1213323,105.1108985
2.746,0.806,30.2,0.80592,1.53685565,128.0713042,158.9131727,158.8973997
2.829,0.827,32,0.8268,2.84143473,236.7862275,286.3887609,286.3195012
2.829,0.827,32,0.8268,2.34284248,195.2368733,236.1355507,236.0784442
2.829,0.827,32,0.8268,3.64505903,303.7549192,367.3862109,367.297363
2.829,0.827,32,0.8268,2.76694223,230.5785192,278.8806473,278.8132033
2.829,0.827,32,0.8268,4.08784463,340.6537192,412.0146579,411.9150171
2.829,0.827,32,0.8268,2.91193394,242.6611617,293.49439,293.4234119
2.829,0.827,32,0.8268,7.29070688,607.5589067,734.8317691,734.6540588
2.829,0.827,32,0.8268,10.6718291,889.3190917,1075.615737,1075.355613
2.829,0.827,32,0.8268,7.65379788,637.81649,771.4277818,771.2412213
2.829,0.827,32,0.8268,6.36331987,530.2766558,641.3602514,641.2051461
2.829,0.827,32,0.8268,5.50988966,459.1574717,555.342854,555.208551
2.829,0.827,32,0.8268,4.87686378,406.405315,491.540052,491.421179
2.829,0.827,32,0.8268,4.70660453,392.2170442,474.379589,474.264866
2.913,0.848,33.8,0.84768,4.36649988,363.87499,429.2598504,429.0978656
2.829,0.827,32,0.8268,4.09623904,341.3532533,412.8607321,412.7608867
2.829,0.827,32,0.8268,4.04030739,336.6922825,407.2233702,407.1248881
2.829,0.827,32,0.8268,4.32702329,360.5852742,436.1215217,436.016051
2.746,0.806,30.2,0.80592,4.84281466,403.5678883,500.7542788,500.7045761
2.746,0.806,30.2,0.80592,5.47897648,456.5813733,566.5343624,566.4781307
2.746,0.806,30.2,0.80592,5.8657085,488.8090417,606.5230316,606.4628309
2.663,0.785,28.4,0.78504,6.39679784,533.0664867,679.0309878,679.0655881
2.663,0.785,28.4,0.78504,6.69674371,558.0619758,710.8707529,710.9069756
2.663,0.785,28.4,0.78504,0.93571509,77.9762575,99.32775082,99.3328121
2.663,0.785,28.4,0.78504,1.44848599,120.7071658,153.7592554,153.7670902
2.663,0.785,28.4,0.78504,2.79883126,233.2359383,297.1007061,297.115845
2.663,0.785,28.4,0.78504,2.37921756,198.26813,252.557997,252.5708662
2.663,0.785,28.4,0.78504,3.73752903,311.4607525,396.7450735,396.7652898
2.663,0.785,28.4,0.78504,2.70955707,225.7964225,287.6240988,287.6387548
2.663,0.785,28.4,0.78504,4.01061845,334.2182042,425.7339806,425.7556741
2.58,0.764,26.6,0.76416,2.84593896,237.16158,310.3559202,310.4209162
2.663,0.785,28.4,0.78504,7.16941902,597.451585,761.0460422,761.0848217
2.663,0.785,28.4,0.78504,10.7799786,898.33155,1144.313092,1144.371401
2.663,0.785,28.4,0.78504,8.33734991,694.7791592,885.0238958,885.0689926
2.746,0.806,30.2,0.80592,7.24221028,603.5175233,748.8553744,748.7810463
2.829,0.827,32,0.8268,6.38503405,532.0861708,643.5488278,643.3931933
2.829,0.827,32,0.8268,5.72196317,476.8302642,576.7177844,576.5783122
2.829,0.827,32,0.8268,5.08198304,423.4985867,512.2140622,512.0901894
2.829,0.827,32,0.8268,4.55885383,379.9044858,459.4877671,459.3766455
2.829,0.827,32,0.8268,4.5447932,378.7327667,458.0705935,457.9598146
2.829,0.827,32,0.8268,5.18429631,432.0246925,522.5262367,522.39987
2.746,0.806,30.2,0.80592,6.09363404,507.8028367,630.0908734,630.0283333
2.663,0.785,28.4,0.78504,7.04249949,586.8749575,747.5733179,747.6114108
2.58,0.764,26.6,0.76416,0.68174096,56.81174667,74.34535525,74.36092496
2.663,0.785,28.4,0.78504,1.18336888,98.61407333,125.6166225,125.6230234
